Seq,station,lat,lon,country,distance
119,西班牙港,10°39′N,061°32′W,特立尼达和多巴哥,43.766149749204665 km
120,突尼斯港,36°49′N,010°18′E,突尼斯,217.756825474733 km
121,伊斯坦布尔港,41°01′N,028°59′E,土耳其,261.75601932531254 km
122,维拉港,17°45′S,168°18′E,瓦鲁阿图,966.7567851770306 km
123,穆阿拉港,05°01′N,115°04′E,文莱,2123.7666743389336 km
124,斯里巴加湾港,04°54′N,114°56′E,文莱,2122.736968363313 km
125,加的斯港,36°32′.2N,006°17′.4W,西班牙,2.469383839240442 km
126,比雷埃夫斯港,37°57′N,023°38′E,希腊,2.2016635329875225 km
127,伊拉克利翁港,35°21′N,025°09′E,希腊,0.9673699862143819 km
128,新加坡港,01°16′N,103°50′E,新加坡,2711.174811342912 km
129,樟宜港,01°19′N,104°01′E,新加坡,2706.7589403798975 km
130,奥克兰港,36°51′S,174°46′E,新西兰,1.3042730774067333 km
131,拉塔基亚港,35°31′N,035°46′E,叙利亚,686.8312233744934 km
132,金斯敦港,17°58′N,076°48′W,牙买加,6.454966245018156 km
133,荷台达港,14°50′.1N,042°56′.2E,也门,2780.445143388481 km
134,穆卡拉港,14°31′N,049°09′E,也门,3179.884825025542 km
135,亚丁港,12°47′.8N,045°00′.5E,也门,3088.4074568188676 km
136,乌姆盖斯尔港,30°01′.4N,047°57′.1E,伊拉克,1966.429767593859 km
137,阿巴斯港,27°08′.8N,056°12′.2E,伊朗,2829.8508294775265 km
138,布什尔港,28°59′.5N,050°50′.1E,伊朗,2267.5990397941678 km
139,伦格港,26°33′N,054°53′E,伊朗,2747.212544661388 km
140,恰赫巴哈尔港,25°17′.4N,060°36′.6E,伊朗,3313.7397038581407 km
141,埃拉特港,29°31′.9N,034°56′.5E,以色列,970.2882784967633 km
142,海法港,32°49′N,035°00′E,以色列,730.8945459978723 km
143,卡利亚里港,39°13′N,009°06′E,意大利,2.084394361555967 km
144,奇维塔韦基亚港,42°05′N,011°47′E,意大利,0.3362655623980966 km
145,塔兰托港,40°27′N,017°12′E,意大利,2.546537474900252 km
146,杜蒂戈林港,08°45′N,078°13′E,印度,5050.269056933779 km
147,根德拉港,23°01′.9N,070°13′.1E,印度,4286.304628909838 km
148,金奈港,13°06′N,080°18′E,印度,4646.651815895392 km
149,科钦港,09°57′.9N,076°16′.1E,印度,5188.316931218942 km
150,孟买港,18°57′N,072°51′E,印度,4756.486821353109 km
151,维沙卡帕特南港,17°41′N,083°18′E,印度,4172.086668283123 km
152,比通港,01°26′N,125°11′E,印度尼西亚,1293.6590776567166 km
153,杜迈港,01°41′.2N,101°27′.3E,印度尼西亚,2881.815908237765 km
154,棉兰港,03°47′N,098°41′E,印度尼西亚,3243.4668147449515 km
155,三宝垄港,06°55′S,110°25′E,印度尼西亚,1579.8874358533014 km
156,沙璜港,05°53′.4N,095°18′.9E,印度尼西亚,3596.308750086459 km
157,泗水港,07°12′S,112°44′E,印度尼西亚,1364.2267949055465 km
158,勿拉湾港,03°47′.3N,098°41′.7E,印度尼西亚,3243.4668147449515 km
159,雅加达港,06°06′S,106°49′E,印度尼西亚,1837.1503836285574 km
160,亚喀巴港,29°30′.6N,034°59′.7E,约旦,974.7970908094342 km
161,归仁港,13°46′.3N,109°14′.1E,越南,1862.0735545071182 km
162,海防港,20°52′N,106°41′E,越南,1715.4029853511108 km
163,胡志明市港,10°46′.0N,106°43′.0E,越南,2288.191769399087 km
164,金兰港,11°54′N,109°09′E,越南,2010.9347887633778 km
165,岘港,16°07′N,108°13′E,越南,1790.7694917774365 km
166,斯里巴加湾港,04°54′N,114°56′E,文莱,2122.736968363313 km
167,穆阿拉港,05°01′N,115°04′E,文莱,2123.7666743389336 km
168,瓦尔帕莱索港,33°02′S,071°38′W,智利,0.9723994014725373 km
