Seq,station,lat,lon,country,gloss_number,distance
89,拉各斯港,06°26′S,003°24′E,尼日利亚,260,836.5274839726628 km
90,里斯本港,38°42′N,009°11′W,葡萄牙,246,31.979055321891238 km
91,广岛港,34°20′N,132°25′E,日本,326,70.58363557589793 km
92,吴港,34°14′N,132°32′E,日本,326,85.4593236808907 km
93,达喀尔港,14°41′N,017°26′W,塞内加尔,253,2.6797335504349746 km
94,利马索尔港,34°39′N,033°01′E,塞浦路斯,80,312.85047069988775 km
95,拉纳卡,34°56′N,033°39′E,塞浦路斯,80,374.9879346313309 km
96,维多利亚港,04°37′S,055°28′E,塞舌尔,339,9.016236224190422 km
97,达曼港,26°30′.7N,050°12′.2E,沙特阿拉伯,337,1050.2462302912543 km
98,吉达港,21°28′N,039°10′E,沙特阿拉伯,3,1142.672156449914 km
99,吉赞港,16°53′.4N,042°32′.1E,沙特阿拉伯,3,524.6950426185435 km
100,延布工业港,23°57′.2N,038°13′.0E,沙特阿拉伯,1,868.2064753958346 km
101,延布商业港,24°04′.8N,038°04′.1E,沙特阿拉伯,1,848.5662672838861 km
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,337,1107.5424624117582 km
103,汉班托特港,06°07′N,081°07′E,斯里兰卡,33,166.683773110738 km
104,加勒港,06°02′N,080°14′E,斯里兰卡,33,108.1846046988466 km
105,科伦坡港,06°56′N,079°50′E,斯里兰卡,33,1.8418476277201172 km
106,亭可马里港,08°33′N,081°12′E,斯里兰卡,33,232.68728268653354 km
107,萨瓦金港,19°07′.0N,037°20′.6E,苏丹,2,1039.7757840379718 km
108,苏丹港,19°37′N,037°14′E,苏丹,2,1090.2751202244517 km
109,柏培拉港,10°26′N,045°01′E,索马里,2,241.3815974274393 km
110,霍比奥港,05°20′.7N,048°32′.5E,索马里,7,510.73506643257906 km
111,基斯马尤港,0°22′S,042°34′E,索马里,7,405.304485702461 km
112,摩加迪沙港,02°02′N,045°20′E,索马里,7,1.843664874959941 km
113,曼谷,13°44′N,100°30′E,泰国,39,228.12978757568345 km
114,普吉港,07°49′.2N,098°24′.3E,泰国,42,4.1120401595305704 km
115,宋卡,07°12′N,100°35′E,泰国,42,247.41405661652092 km
116,梭桃邑,12°36′N,100°56′E,泰国,39,151.42391301051507 km
117,达累斯萨拉姆港,06°50′S,039°17′E,坦桑尼亚,297,76.37405607596094 km
118,努库阿洛法港,21°08′S,175°11′W,汤加,125,7.8461994375747555 km
119,西班牙港,10°39′N,061°32′W,特立尼达和多巴哥,203,1.824303400147329 km
120,突尼斯港,36°49′N,010°18′E,突尼斯,205,834.2429768772671 km
121,伊斯坦布尔港,41°01′N,028°59′E,土耳其,98,895.3294868022039 km
122,维拉港,17°45′S,168°18′E,瓦鲁阿图,348,1.8438896069993176 km
123,穆阿拉港,05°01′N,115°04′E,文莱,70,667.5922443420864 km
124,斯里巴加湾港,04°54′N,114°56′E,文莱,70,684.5216024453412 km
125,加的斯港,36°32′.2N,006°17′.4W,西班牙,248,92.86533760354203 km
126,比雷埃夫斯港,37°57′N,023°38′E,希腊,80,897.1453319172603 km
127,伊拉克利翁港,35°21′N,025°09′E,希腊,80,619.0546909070713 km
128,新加坡港,01°16′N,103°50′E,新加坡,44,22.114244512909025 km
129,樟宜港,01°19′N,104°01′E,新加坡,44,26.29372125012195 km
130,奥克兰港,36°51′S,174°46′E,新西兰,127,46.6361455274864 km
131,拉塔基亚港,35°31′N,035°46′E,叙利亚,80,563.8053536988058 km
132,金斯敦港,17°58′N,076°48′W,牙买加,210,6.455176944578135 km
133,荷台达港,14°50′.1N,042°56′.2E,也门,3,317.1193241943034 km
134,穆卡拉港,14°31′N,049°09′E,也门,3,489.8842573803622 km
135,亚丁港,12°47′.8N,045°00′.5E,也门,3,1.8099968666663884 km
136,乌姆盖斯尔港,30°01′.4N,047°57′.1E,伊拉克,337,1352.097452559315 km
137,阿巴斯港,27°08′.8N,056°12′.2E,伊朗,337,484.3053796499115 km
138,布什尔港,28°59′.5N,050°50′.1E,伊朗,337,1050.181020891461 km
139,伦格港,26°33′N,054°53′E,伊朗,337,589.1448389394347 km
140,恰赫巴哈尔港,25°17′.4N,060°36′.6E,伊朗,337,1.84628782867835 km
141,埃拉特港,29°31′.9N,034°56′.5E,以色列,1,233.5851442285141 km
142,海法港,32°49′N,035°00′E,以色列,80,388.183596541862 km
143,卡利亚里港,39°13′N,009°06′E,意大利,205,551.6038449605643 km
144,奇维塔韦基亚港,42°05′N,011°47′E,意大利,340,426.62388668317095 km
145,塔兰托港,40°27′N,017°12′E,意大利,340,642.2816734640277 km
146,杜蒂戈林港,08°45′N,078°13′E,印度,32,252.96148049858115 km
147,根德拉港,23°01′.9N,070°13′.1E,印度,31,234.8895126334096 km
148,金奈港,13°06′N,080°18′E,印度,34,0.0 km
149,科钦港,09°57′.9N,076°16′.1E,印度,32,1.8427209173784103 km
150,孟买港,18°57′N,072°51′E,印度,31,337.9183452062987 km
151,维沙卡帕特南港,17°41′N,083°18′E,印度,35,1.7685603941959254 km
152,比通港,01°26′N,125°11′E,印度尼西亚,69,1.8547519593883584 km
153,杜迈港,01°41′.2N,101°27′.3E,印度尼西亚,44,266.29133885362734 km
154,棉兰港,03°47′N,098°41′E,印度尼西亚,43,220.38458315954816 km
155,三宝垄港,06°55′S,110°25′E,印度尼西亚,291,173.85049949916328 km
156,沙璜港,05°53′.4N,095°18′.9E,印度尼西亚,347,6.648371835654679 km
157,泗水港,07°12′S,112°44′E,印度尼西亚,292,1.8424587572622655 km
158,勿拉湾港,03°47′.3N,098°41′.7E,印度尼西亚,43,220.38458315954816 km
159,雅加达港,06°06′S,106°49′E,印度尼西亚,291,289.24082922750904 km
160,亚喀巴港,29°30′.6N,034°59′.7E,约旦,1,238.71257536040775 km
161,归仁港,13°46′.3N,109°14′.1E,越南,75,1.8030859095776233 km
162,海防港,20°52′N,106°41′E,越南,78,540.4685647505786 km
163,胡志明市港,10°46′.0N,106°43′.0E,越南,75,429.06423826763563 km
164,金兰港,11°54′N,109°09′E,越南,75,206.63377585728344 km
165,岘港,16°07′N,108°13′E,越南,75,281.3961602596898 km
166,斯里巴加湾港,04°54′N,114°56′E,文莱,70,684.5216024453412 km
167,穆阿拉港,05°01′N,115°04′E,文莱,70,667.5922443420864 km
168,瓦尔帕莱索港,33°02′S,071°38′W,智利,175,1.5575901793740219 km
